College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7,Courses Group 8
Foothill College,UCB,Calc1,A,1,MATH 1A,MATH 1A,MATH 1AH,,,,,,
Foothill College,UCB,Calc2,A,1,MATH 1B,MATH 1B; MATH 1C,,,,,,,
Foothill College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 2A; MATH 2B,,,,,,,
Foothill College,UCB,MultivariableCalc,A,1,MATH 53,MATH 1C; MATH 1D,,,,,,,
De Anza College,UCD,Calc1,A,1,MAT 021A,MATH 1A,MATH 1AH,,,,,,
De Anza College,UCD,Calc2,A,1,MAT 021B,MATH 1B,MATH 1BH,,,,,,
De Anza College,UCD,Calc3,A,1,MAT 021C,MATH 1C,MATH 1CH,,,,,,
De Anza College,UCD,DataStructures,A,1,ECS 036C,CIS 22C,CIS 22CH,,,,,,
De Anza College,UCD,DiscreteMath,A,1,ECS 020,MATH 22,MATH 22H,,,,,,
De Anza College,UCD,Intro1,A,1,ECS 036A,CIS 22A,CIS 22B,CIS 22BH,CIS 26A,CIS 26B,CIS 27,CIS 35A,CIS 36A
De Anza College,UCD,Intro2,A,1,ECS 036B,CIS 22B,CIS 22BH,CIS 29,CIS 35A,CIS 36B,,,
De Anza College,UCD,Organization,A,1,ECS 050,CIS 21JA,,,,,,,
De Anza College,UCI,Calc1,A,1,MATH 2A,MATH 1A,MATH 1AH,,,,,,
De Anza College,UCI,Calc2,A,1,MATH 2B,MATH 1B,MATH 1BH,,,,,,
De Anza College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 40; CIS 41A; CIS 41B,,,,,,,
De Anza College,UCLA,Calc1,A,1,MATH 31A,MATH 1A,,,,,,,
Foothill College,UCLA,Calc2,A,1,MATH 31B,MATH 1B; MATH 1C,,,,,,,
De Anza College,UCLA,Calc3,A,1,MATH 32A,MATH 1C,,,,,,,
De Anza College,UCLA,Calc4,A,1,MATH 32B,MATH 1D,,,,,,,
De Anza College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 2A,,,,,,,
Foothill College,UCLA,Intro,A,1,COM SCI 31,C S 2A,,,,,,,
De Anza College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 2B,,,,,,,
De Anza College,UCM,Calc1,A,1,MATH 021,MATH 1A; MATH 1B,MATH 1AH; MATH 1BH,,,,,,
De Anza College,UCM,Calc2,A,1,MATH 022,MATH 1B; MATH 1C,MATH 1BH; MATH 1CH,,,,,,
De Anza College,UCM,DataStructures,A,1,CSE 030,CIS 22C,,,,,,,
De Anza College,UCM,LinearAlgebra,A,1,MATH 024,MATH 2A; MATH 2B,,,,,,,
Foothill College,UCM,VectorCalc,A,1,MATH 023,MATH 1C; MATH 1D,,,,,,,
De Anza College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1A; MATH 1B; MATH 1C,,,,,,,
Foothill College,UCR,Intro1,A,1,CS 10A,C S 1A,C S 2A,C S 3A,,,,,
Foothill College,UCR,Intro2,A,1,CS 10B,C S 1B,C S 2B,,,,,,
De Anza College,UCSB,Calc1,A,1,MATH 3A,MATH 1A,MATH 1AH,,,,,,
De Anza College,UCSB,Calc2,A,1,MATH 3B,MATH 1B; MATH 1BH,MATH 1C; MATH 1CH,,,,,,
Foothill College,UCSB,DataStructures,A,1,CMPSC 24,C S 2C,,,,,,,
De Anza College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 2A,MATH 2AH,,,,,,
De Anza College,UCSB,DiscreteMath,A,1,CMPSC 40,MATH 22,MATH 22H,,,,,,
De Anza College,UCSB,Intro,A,1,CMPSC 16,CIS 22B,CIS 22BH,CIS 26A,CIS 26B,CIS 26BH,,,
De Anza College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 2B,MATH 2BH,,,,,,
De Anza College,UCSC,Calc1,A,1,MATH 19A,MATH 1A,MATH 1AH,,,,,,
Foothill College,UCSC,Calc2,A,1,MATH 19B,MATH 1B; MATH 1C,,,,,,,
De Anza College,UCSC,DataStructures,A,1,CSE 12,CIS 21JA,CIS 21JB,,,,,,
De Anza College,UCSC,DiscreteMath,A,1,CSE 16,MATH 22,MATH 22H,,,,,,
De Anza College,UCSC,Intro,A,1,CSE 30,CIS 22C,CIS 22CH,,,,,,
De Anza College,UCSD,Calc1,A,1,MATH 20A,MATH 1A,MATH 1AH,,,,,,
De Anza College,UCSD,Calc2,A,1,MATH 20B,MATH 1B,MATH 1BH,,,,,,
Foothill College,UCSD,Calc3,A,1,MATH 20C,MATH 1C; MATH 1D,,,,,,,
De Anza College,UCSD,DataStructures,A,1,CSE 12,CIS 22C,CIS 22CH,,,,,,
De Anza College,UCSD,DiscreteMath,A,1,CSE 20,MATH 22,MATH 22H,,,,,,
De Anza College,UCSD,Intro,A,1,CSE 8B,CIS 36B,,,,,,,
De Anza College,UCSD,Intro,B,1,CSE 11,CIS 36A; CIS 36B,CIS 35A,,,,,,
De Anza College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 2B,MATH 2BH,,,,,,
