College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Grossmont College,UCB,Calc1,A,1,MATH 1A,MATH 180,,
Grossmont College,UCB,Calc2,A,1,MATH 1B,MATH 280,,
Grossmont College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 284; MATH 285,,
Grossmont College,UCB,MultivariableCalc,A,1,MATH 53,MATH 281,,
Not Articulated,UCD,Algorithms,A,1,ECS 036C,Not Articulated,,
Grossmont College,UCD,Calc1,A,1,MAT 021A,MATH 180,,
Grossmont College,UCD,Calc2,A,1,MAT 021B,MATH 280,,
Grossmont College,UCD,Calc3,A,1,MAT 021C,MATH 281,,
Grossmont College,UCD,DiscreteMath,A,1,ECS 020,CSIS 240,MATH 245,
Grossmont College,UCD,ObjectOriented,A,1,ECS 036B,CSIS 294,CSIS 297,
Grossmont College,UCD,Organization,A,1,ECS 050,CSIS 165,,
Grossmont College,UCD,ProblemSolving,A,1,ECS 036A,CSIS 296,,
Cuyamaca College,UCI,Calc1,A,1,MATH 2A,MATH 180,,
Grossmont College,UCI,Calc2,A,1,MATH 2B,MATH 280,,
Grossmont College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSIS 293; CSIS 294,,
Grossmont College,UCLA,Calc1,A,1,MATH 31A,MATH 180,,
Grossmont College,UCLA,Calc2,A,1,MATH 31B,MATH 280,,
Grossmont College,UCLA,Calc3,A,1,MATH 32A,MATH 281,,
Grossmont College,UCLA,Calc4,A,1,MATH 32B,MATH 281,,
Grossmont College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 285,,
Grossmont College,UCLA,Intro,A,1,COM SCI 31,CSIS 296,CSIS 297,
Grossmont College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 284,,
Grossmont College,UCM,Calc1,A,1,MATH 021,MATH 180,,
Grossmont College,UCM,Calc2,A,1,MATH 022,MATH 280,,
Cuyamaca College,UCM,DataStructures,A,1,CSE 030,CS 281,CS 282,
Grossmont College,UCM,LinearAlgebra,A,1,MATH 024,MATH 284; MATH 285,,
Grossmont College,UCM,VectorCalc,A,1,MATH 023,MATH 281,,
Grossmont College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 180; MATH 280,,
Grossmont College,UCR,Intro1,A,1,CS 10A,CSIS 293,CSIS 296,
Grossmont College,UCR,Intro2,A,1,CS 10B,CSIS 297,,
Grossmont College,UCSB,Calc1,A,1,MATH 3A,MATH 180,,
Grossmont College,UCSB,Calc2,A,1,MATH 3B,MATH 280,,
Grossmont College,UCSB,Comp1,A,1,CMPSC 16,CSIS 296,,
Cuyamaca College,UCSB,Comp2,A,1,CMPSC 24,CS 281,,
Grossmont College,UCSB,Comp3,A,1,CMPSC 40,CSIS 240,MATH 245,
Grossmont College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 285,,
Grossmont College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 284,,
Grossmont College,UCSC,Calc1,A,1,MATH 19A,MATH 180,,
Grossmont College,UCSC,Calc2,A,1,MATH 19B,MATH 280,,
Grossmont College,UCSC,DataStructures,A,1,CSE 12,CSIS 165,,
Grossmont College,UCSC,DiscreteMath,A,1,CSE 16,MATH 245,CSIS 240,
Grossmont College,UCSC,Python,A,1,CSE 30,CSIS 294,,
Grossmont College,UCSD,Cal1,A,1,MATH 20A,MATH 180,,
Grossmont College,UCSD,Cal2,A,1,MATH 20B,MATH 280,,
Grossmont College,UCSD,Calc3,A,1,MATH 20C,MATH 281,,
Cuyamaca College,UCSD,DataStructures,A,1,CSE 12,CS 282,,
Grossmont College,UCSD,DiscreteMath,A,1,CSE 20,MATH 245,CSIS 240,
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,,
Grossmont College,UCSD,Intro,B,1,CSE 11,CSIS 294,,
Grossmont College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 284,,
