UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
UCB,Calc1,A,1,MATH 1A,MATH 261,,,
UCB,Calc2,A,1,MATH 1B,MATH 262,,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 263,,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 270; MATH 275,,,
UCD,DiscreteMath,A,1,ECS 020,MATH 272,,,
UCD,Intro1,A,1,ECS 036A,CS 113,MATH 173,MATH 273,
UCD,Intro2,A,1,ECS 036B,CS 116,,,
UCD,DataStructures,A,1,ECS 036C,Not Articulated,,,
UCD,Organization,A,1,ECS 050,Not Articulated,,,
UCD,Calc1,A,1,MAT 021A,MATH 261,,,
UCD,Calc2,A,1,MAT 021B,MATH 262,,,
UCD,Calc3,A,1,MAT 021C,MATH 263,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,MATH 173; MATH 273,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,MATH 173; MATH 273,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,MATH 173; MATH 273,,,
UCI,Calc1,A,1,MATH 2A,MATH 261,,,
UCI,Calc2,A,1,MATH 2B,MATH 262,,,
UCLA,Intro,A,1,COM SCI 31,Not Articulated,,,
UCLA,Calc1,A,1,MATH 31A,MATH 261,,,
UCLA,Calc2,A,1,MATH 31B,MATH 262,,,
UCLA,Calc3,A,1,MATH 32A,MATH 263,,,
UCLA,Calc4,A,1,MATH 32B,MATH 263,,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 270,,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 275,,,
UCM,DataStructures,A,1,CSE 030,MATH 273,CS 136,,
UCM,Calc1,A,1,MATH 021,MATH 261,,,
UCM,Calc2,A,1,MATH 022,MATH 262,,,
UCM,VectorCalc,A,1,MATH 023,MATH 263,,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 270; MATH 275,,,
UCM,DataStructures,A,1,CSE 030,MATH 273,CS 136,,
UCR,Intro1,A,1,CS 10A,CS 116,CS 113,MATH 173,MATH 273
UCR,Intro2,A,1,CS 10B,Not Articulated,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 261; MATH 262,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 261; MATH 262,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 261; MATH 262,,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,,
UCSD,Intro,B,1,CSE 11,CS 113; CS 136,CS 216,,
UCSD,DataStructures,A,1,CSE 12,CS 136,,,
UCSD,DiscreteMath,A,1,CSE 20,MATH 272,,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 270,,,
UCSD,Calc1,A,1,MATH 20A,MATH 261,,,
UCSD,Calc2,A,1,MATH 20B,MATH 262,,,
UCSD,Calc3,A,1,MATH 20C,MATH 263,,,
UCSB,Calc1,A,1,MATH 3A,MATH 261,,,
UCSB,Calc2,A,1,MATH 3B,MATH 262,,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 270,,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 275,,,
UCSB,Comp1,A,1,CMPSC 16,CS 116,MATH 173,,
UCSB,Comp2,A,1,CMPSC 24,CS 136,MATH 273,,
UCSB,Comp3,A,1,CMPSC 40,MATH 272,,,
UCSC,DataStructures,A,1,CSE 12,Not Articulated,,,
UCSC,DiscreteMath,A,1,CSE 16,MATH 272,,,
UCSC,Intro,A,1,CSE 30,MATH 273,,,
UCSC,Calc1,A,1,MATH 19A,MATH 261,,,
UCSC,Calc2,A,1,MATH 19B,MATH 262,,,
